miRNA genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
mmu-miR-7083-5p,5.394351150212618,-0.8618156691743704,0.9801461851340388,-0.8792725842793682,0.3792534970924979,0.9978624094514408
mmu-miR-677-3p,1.111400557086882,-0.8476302299939075,1.996680082255074,-0.42451980040617415,0.6711867681455859,0.9978624094514408
mmu-miR-7118-3p,4.092907199813481,-0.8403169508555329,1.0932310736540074,-0.7686544694040426,0.4420984606894641,0.9978624094514408
mmu-miR-6928-3p,4.018893988905602,-0.8374252075997157,1.174517995173382,-0.712994786832615,0.47584898304160195,0.9978624094514408
mmu-miR-7004-3p,5.269489200053424,-0.8124638145157559,0.9917053666279863,-0.8192592697953319,0.4126385054824482,0.9978624094514408
mmu-miR-7071-5p,1.9915412981716891,-0.7991664682191514,1.5278155633120345,-0.5230778422538775,0.6009200842801494,0.9978624094514408
mmu-miR-190b-5p,1.1823897149459162,-0.7979981039861295,2.084958633408803,-0.38274049719703196,0.7019121842411082,0.9978624094514408
mmu-miR-3057-5p,15.324429324292517,-0.790060840735634,0.6053388867213084,-1.3051546135006018,0.1918402052911431,0.9978624094514408
mmu-miR-8111,4.622315650925734,-0.7832289340795553,1.004628148840982,-0.7796207332863904,0.43561414839261814,0.9978624094514408
mmu-miR-669b-3p,1.1427132941886218,-0.7729116062760858,1.9801202044811907,-0.39033570008877094,0.6962883279490886,0.9978624094514408
